Yıl,Ay,İhracat ($)
2013,01-Ocak,27393336
2013,02-Şubat,23964627
2013,03-Mart,23792544
2013,04-Nisan,23957501
2013,05-Mayıs,22813147
2013,06-Haziran,20156545
2013,07-Temmuz,20916685
2013,08-Ağustos,24709752
2013,09-Eylül,30564310
2013,10-Ekim,29292851
2013,11-Kasım,32010543
2013,12-Aralık,28165598
2014,01-Ocak,27789187
2014,02-Şubat,25452500
2014,03-Mart,23976046
2014,04-Nisan,22482260
2014,05-Mayıs,29308475
2014,06-Haziran,22437239
2014,07-Temmuz,20127922
2014,08-Ağustos,26044406
2014,09-Eylül,27549424
2014,10-Ekim,29340038
2014,11-Kasım,27386993
2014,12-Aralık,29304701
2015,01-Ocak,19493920
2015,02-Şubat,16494985
2015,03-Mart,17730349
2015,04-Nisan,19537951
2015,05-Mayıs,15650025
2015,06-Haziran,14886394
2015,07-Temmuz,13963225
2015,08-Ağustos,23032157
2015,09-Eylül,27522889
2015,10-Ekim,29707536
2015,11-Kasım,25409511
2015,12-Aralık,26671957
2016,01-Ocak,18608605
2016,02-Şubat,18700124
2016,03-Mart,21952197
2016,04-Nisan,21914920
2016,05-Mayıs,20461041
2016,06-Haziran,17977948
2016,07-Temmuz,10890769
2016,08-Ağustos,23562007
2016,09-Eylül,23318988
2016,10-Ekim,25202853
2016,11-Kasım,23037987
2016,12-Aralık,22769505
2017,01-Ocak,18389524
2017,02-Şubat,17980433
2017,03-Mart,24472372
2017,04-Nisan,19049777
2017,05-Mayıs,19713127
2017,06-Haziran,13152019
2017,07-Temmuz,12756257
2017,08-Ağustos,19699541
2017,09-Eylül,19037833
2017,10-Ekim,24421371
2017,11-Kasım,25025787
2017,12-Aralık,22082309
2018,01-Ocak,20306787
2018,02-Şubat,19222969
2018,03-Mart,21502145
2018,04-Nisan,18274399
2018,05-Mayıs,18353157
2018,06-Haziran,13312915
2018,07-Temmuz,12028643
2018,08-Ağustos,15815160
2018,09-Eylül,23513393
2018,10-Ekim,21337773
2018,11-Kasım,22522338
2018,12-Aralık,17987752
2019,01-Ocak,20342964
2019,02-Şubat,18760205
2019,03-Mart,23532839
2019,04-Nisan,21861216
2019,05-Mayıs,23887605
2019,06-Haziran,15982107
2019,07-Temmuz,21962594
2019,08-Ağustos,21364680
2019,09-Eylül,29461243
2019,10-Ekim,31069822
2019,11-Kasım,25889922
2019,12-Aralık,24841556
2020,01-Ocak,24064699
2020,02-Şubat,26117272
2020,03-Mart,22123642
2020,04-Nisan,20175013
2020,05-Mayıs,14139262
2020,06-Haziran,17044527
2020,07-Temmuz,19327213
2020,08-Ağustos,22956561
2020,09-Eylül,28087218
2020,10-Ekim,33102659
2020,11-Kasım,32196571
2020,12-Aralık,29605450
2021,01-Ocak,27262615
